BLCAP,0.7252363,2.8875,0.6103506,1.7152892,0.81778485,0.34546292,-0.68939364,0.13377708,0.3718663,0.29636264,0.9880264,-0.47319087,-0.17104222
HADH,-0.9553136,-8.3398,-0.16648787,-1.8129984,0.2741369,0.60868263,-5.029269,-0.55757403,1.0801653,0.089841574,0.36835572,-0.30441695,-0.7169255
GNAI2,0.12425394,3.6207,2.2921112,0.5966114,0.024648352,0.2893703,-0.1743053,0.5974464,-0.012945101,-1.2958452,0.28572792,-1.335996,-1.3345858
PSMF1,-0.12628417,0.6391,1.1209695,-0.3988623,0.28817105,-0.075805634,1.3217474,-0.022549018,-0.24652942,-0.17675109,0.581396,0.5347347,0.74828327
MYL9,0.52771795,2.0175,-0.8105555,-0.36830628,0.008345574,-0.60915923,0.5177089,-1.1102692,-0.33623207,-0.25373554,-0.12579088,0.6556598,1.2085558
MMP2,-0.19890888,1.0342,-0.5670544,-0.56924236,-0.7407621,-0.37178546,1.019708,0.15054113,-0.8103419,0.095222324,-0.06325827,0.49731395,0.78741664
SMARCC1,-0.38837105,-0.7349,-0.017468125,-0.707464,0.20530638,1.0731255,-0.14914817,-0.49449354,0.6637087,-0.9286924,0.96085596,-0.46327195,0.53081334
TM9SF2,-0.2523629,-5.6078,0.9777415,2.042027,-0.19992863,0.28406993,1.9841585,-1.1796033,0.051967606,-0.36368465,1.0932966,-0.51758975,-1.7243259
PIP4K2B,-0.46942657,-0.2087,2.1528845,-0.40540624,-0.41447052,0.66573346,-2.8951125,-0.11078949,0.116646565,-0.9452005,-0.06885523,-0.68517923,-0.97976553
PXN,1.6766652,1.9617,0.63967776,0.548742,0.43150917,-1.2168744,1.0897986,-0.5100021,0.13444938,1.8268335,-0.30803674,0.3173999,0.39349756
COPB2,-0.40205708,-0.9113,1.1420467,3.4130836,0.19919606,-0.041241825,0.67450154,-2.860706,0.24996974,0.005177839,0.7158061,0.86801136,-1.6028826
PFKL,-0.34709412,-5.5296,1.8175696,-0.024928555,-0.27810624,0.40165633,-0.5106735,0.59814227,-0.17749396,-1.0084614,-0.3699871,-0.08792537,0.41224453
PGRMC1,-0.32323614,-6.4157,1.4024203,-0.26380873,0.80520105,0.90486085,-1.6398195,0.7530372,0.32277638,0.24602053,0.028036483,-1.1781904,-1.3957188
ITGB5,-0.33813626,-9.174,0.22124845,1.7478765,0.54893494,0.20466317,0.6711697,-0.020177744,0.6829606,-0.79352134,0.7708347,-0.6038751,0.084592655
PLP2,0.17431352,0.6834,0.03955716,-0.35936284,-0.11252685,-1.5547138,1.123964,-0.05354977,-0.2282075,0.22235969,-0.4321415,1.2047436,0.8721822
NFE2L2,0.18321684,1.3576,0.3092234,0.042877622,-0.42953786,-0.6408337,1.4721471,-0.8476914,-0.8484092,0.12117776,2.62e-05,-0.2617254,1.2406234
MBNL1,0.28640902,-4.4878,0.42699248,-0.81185454,-0.24200317,0.6605456,-1.9381435,0.68547434,0.18407933,0.4504925,2.528084,-0.70649564,-0.8677513
NMT1,0.5265677,0.8505,1.4512137,-0.8354442,-0.8090454,-0.19299029,2.4761477,-0.016579174,-0.9669542,0.7336401,-0.30949432,-0.18392064,-0.5951936
BHLHE40,-0.39483783,-0.4942,0.001553267,-0.98206794,-0.6443778,-0.4150902,-1.5784074,0.9367706,-0.22906202,-0.88293844,-2.0747347,0.08944082,1.8369079
TERF2IP,-0.21983197,-0.9645,0.73651886,0.39817363,0.20394534,1.0099195,0.27002972,0.45414683,0.52415824,-0.15160514,1.6227636,1.4136417,-0.019031674
FBXO7,-0.6964528,-0.6253,0.7559703,1.2490888,0.3111685,-0.021513946,2.420859,-0.4534706,-0.20791845,-1.2340912,0.24488191,-0.45497793,-0.5342068
HTRA1,-0.5208285,1.3108,-2.351223,-0.011032797,-0.24627799,-2.2250445,0.5825403,-0.9321506,-0.5938386,-1.0120457,0.054673553,1.174458,0.5866919
LRPAP1,0.051724195,-2.1338,1.4383138,1.4201695,0.14992058,0.7278301,-0.73103106,0.37122416,0.1307342,-0.306632,-1.095803,0.13335207,-1.030213
CREG1,-0.24176815,5.1015,0.85617703,0.13066773,0.83504295,0.05280394,-0.8612591,0.2319088,0.06896216,0.7136752,0.51817286,-0.19830768,-0.20234412
PCNA,0.115801305,-3.8574,0.6636871,-2.1176152,1.0239553,0.5343156,-7.886487,0.31656042,0.8521986,0.39225855,-3.1768355,-1.1262124,-2.639659
LGMN,0.75550926,4.3768,1.7226382,4.100997,1.3699505,0.12933597,4.5161037,-0.023832738,2.4530787,0.6426162,1.470332,-0.40697768,3.3070488
ILK,-0.1805375,1.7988,0.8193648,0.53465027,2.227337,0.2561522,1.5111449,0.48409295,-0.0282663,-0.9557815,0.16321187,-0.48738045,-0.82926965
ATP1B1,-0.43947086,2.2541,1.1037474,-0.3749929,0.81306064,0.22236189,0.1366439,-0.78883183,0.15723903,-0.35591936,0.7573629,-1.619069,-1.522169
SYPL1,-0.4543907,-7.3924,1.8087599,0.37264365,0.42228103,0.25147048,-2.1589959,0.93626034,0.95254815,-0.614871,1.2240784,0.006866708,0.6166986
TXNRD1,-0.245047,3.9384,0.09672913,-2.9109693,0.6492292,0.25424108,5.918605,0.27871102,-0.1766997,-0.869174,0.39445904,-0.044997007,-0.26910928
NUDCD3,-0.2243818,3.0288,0.3447706,-0.48205242,-0.45138565,1.2244787,-1.511684,0.43202692,-0.062565595,-1.1037229,0.7788235,-0.36560252,0.14859276
